Date,Coef_Nas,Coef_usd,Coef_breakeven
2020-04-30,0.3930976622928884,-0.11451469491945393,0.02424838469156113
2020-05-01,0.11195798387017215,-0.6199006016311955,0.3238617797232198
2020-05-04,0.21285575752809804,-0.018114605502504072,-0.1232779963027884
2020-05-05,-0.13465318621965197,0.06819672566755468,0.012749863053063549
2020-05-06,-0.1381082545770205,0.07832975319581982,0.0738674842260257
2020-05-07,0.5011785902972657,0.009271800283144484,-0.20176611698461233
2020-05-08,0.5008322285551611,0.06997156159353841,-0.1975642399482227
2020-05-11,0.3488892548300997,-0.3026705847389416,-0.3838184715837434
2020-05-12,-0.03581311459106205,-0.5415374536619898,-0.04569535352741856
2020-05-13,0.9770674773911514,-0.4095658118078431,-0.6077413288556327
2020-05-14,1.2256290149672566,-0.4271019752885907,-0.7447296951380497
